panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,coverage,recomputed_meV,plotted_recomputed_meV,published_meV,difference_meV,p95_abs_error_meV,max_abs_error_meV,worst_molecule,worst_signed_error_meV,reference_status
d,GW100,3.0,LUMO,4,4,100/100,29.54,29.54,29.54,1.7763568394e-14,107.35,379,84_BeO,379,TensorGW reference output
d,GW100,3.0,LUMO,4,5,100/100,9.32,9.32,9.32,1.7763568394e-14,32.05,132,16_F2,132,TensorGW reference output
d,GW100,3.0,LUMO,4,6,100/100,3.71,3.71,3.71,2.26485497024e-14,12,27,98_Ag2,27,TensorGW reference output
d,GW100,3.0,LUMO,4,7,100/100,2.39,2.39,2.39,1.7763568394e-15,9.05,14,34_C2H3I,14,TensorGW reference output
d,GW100,3.0,LUMO,4,8,100/100,2.39,2.39,2.39,7.9936057773e-15,9.1,16,34_C2H3I,16,TensorGW reference output
d,GW100,3.0,LUMO,4,9,100/100,2.51,2.51,2.51,-2.22044604925e-15,11,17,84_BeO,17,TensorGW reference output
d,GW100,3.0,LUMO,5,10,100/100,3.28,3.28,3.28,1.7763568394e-15,9.2,88,84_BeO,88,TensorGW reference output
d,GW100,3.0,LUMO,5,2,100/100,234.98,234.98,234.98,5.68434188608e-14,787.9,2895,16_F2,2895,TensorGW reference output
d,GW100,3.0,LUMO,5,3,100/100,97.11,97.11,97.11,1.42108547152e-14,375.5,1333,16_F2,1333,TensorGW reference output
d,GW100,3.0,LUMO,5,4,100/100,29.01,29.01,29.01,1.7763568394e-14,105.35,379,84_BeO,379,TensorGW reference output
d,GW100,3.0,LUMO,5,5,100/100,8.85,8.85,8.85,1.42108547152e-14,31.1,131,16_F2,131,TensorGW reference output
d,GW100,3.0,LUMO,5,6,100/100,3.18,3.18,3.18,1.11022302463e-14,9.1,27,98_Ag2,27,TensorGW reference output
d,GW100,3.0,LUMO,5,7,100/100,1.96,1.96,1.96,8.65973959208e-15,6.05,14,34_C2H3I,14,TensorGW reference output
d,GW100,3.0,LUMO,5,8,100/100,2.05,2.05,2.05,7.9936057773e-15,8.05,15,34_C2H3I,15,TensorGW reference output
d,GW100,3.0,LUMO,5,9,100/100,2.25,2.25,2.25,-4.4408920985e-16,9.05,17,84_BeO,17,TensorGW reference output
e,GW100,5.0,HOMO,2,10,100/100,40.43,40.43,40.43,3.5527136788e-14,118.3,869,100_CuCN,869,TensorGW reference output
e,GW100,5.0,HOMO,2,2,100/100,755.88,755.88,755.88,0,2930.55,4312,16_F2,4312,TensorGW reference output
e,GW100,5.0,HOMO,2,3,100/100,258.12,258.12,258.12,-1.13686837722e-13,1069.95,1880,16_F2,1880,TensorGW reference output
e,GW100,5.0,HOMO,2,4,100/100,93,93,93,-4.26325641456e-14,309.55,1107,100_CuCN,1107,TensorGW reference output
e,GW100,5.0,HOMO,2,5,100/100,55.21,55.21,55.21,2.84217094304e-14,150.35,1069,100_CuCN,1069,TensorGW reference output
e,GW100,5.0,HOMO,2,6,100/100,42.49,42.49,42.49,-3.5527136788e-14,118.35,893,100_CuCN,893,TensorGW reference output
e,GW100,5.0,HOMO,2,7,100/100,41.05,41.05,41.05,-7.81597009336e-14,120.2,891,100_CuCN,891,TensorGW reference output
e,GW100,5.0,HOMO,2,8,100/100,40.27,40.27,40.27,7.1054273576e-14,118.35,875,100_CuCN,875,TensorGW reference output
e,GW100,5.0,HOMO,2,9,100/100,39.88,39.88,39.88,9.23705556488e-14,118.3,869,100_CuCN,869,TensorGW reference output
e,GW100,5.0,HOMO,3,10,100/100,9.52,9.52,9.52,-8.34887714518e-14,49.05,116,88_C6F6,-116,TensorGW reference output
