panel,system,radius_angstrom,orbital,ri_ao_ratio,rs_ao_ratio,coverage,raw_error_meV,error_meV,p95_abs_error_meV,max_abs_error_meV,worst_molecule,worst_signed_error_meV
h,Si45H56,0.5,LUMO,2,3,1/1,324,324,324,324,Si45H56,-324
h,Si45H56,0.5,LUMO,2,4,1/1,848,848,848,848,Si45H56,-848
h,Si45H56,0.5,LUMO,2,5,1/1,477,477,477,477,Si45H56,-477
h,Si45H56,0.5,LUMO,2,6,1/1,144,144,144,144,Si45H56,-144
h,Si45H56,0.5,LUMO,2,7,1/1,100,100,100,100,Si45H56,-100
h,Si45H56,0.5,LUMO,2,8,1/1,70,70,70,70,Si45H56,-70
h,Si45H56,0.5,LUMO,2,9,1/1,63,63,63,63,Si45H56,-63
h,Si45H56,0.5,LUMO,2,10,1/1,54,54,54,54,Si45H56,-54
h,Si45H56,0.5,LUMO,3,2,1/1,619,619,619,619,Si45H56,-619
h,Si45H56,0.5,LUMO,3,3,1/1,332,332,332,332,Si45H56,-332
h,Si45H56,0.5,LUMO,3,4,1/1,854,854,854,854,Si45H56,-854
h,Si45H56,0.5,LUMO,3,5,1/1,484,484,484,484,Si45H56,-484
h,Si45H56,0.5,LUMO,3,6,1/1,147,147,147,147,Si45H56,-147
h,Si45H56,0.5,LUMO,3,7,1/1,103,103,103,103,Si45H56,-103
h,Si45H56,0.5,LUMO,3,8,1/1,74,74,74,74,Si45H56,-74
h,Si45H56,0.5,LUMO,3,9,1/1,69,69,69,69,Si45H56,-69
h,Si45H56,0.5,LUMO,3,10,1/1,61,61,61,61,Si45H56,-61
h,Si45H56,0.5,LUMO,4,2,1/1,623,623,623,623,Si45H56,-623
h,Si45H56,0.5,LUMO,4,3,1/1,333,333,333,333,Si45H56,-333
h,Si45H56,0.5,LUMO,4,4,1/1,854,854,854,854,Si45H56,-854
h,Si45H56,0.5,LUMO,4,5,1/1,484,484,484,484,Si45H56,-484
h,Si45H56,0.5,LUMO,4,6,1/1,147,147,147,147,Si45H56,-147
h,Si45H56,0.5,LUMO,4,7,1/1,104,104,104,104,Si45H56,-104
h,Si45H56,0.5,LUMO,4,8,1/1,76,76,76,76,Si45H56,-76
h,Si45H56,0.5,LUMO,4,9,1/1,69,69,69,69,Si45H56,-69
